b'type',b'category',b'subcategory',b'sizing',b'month_name',b'month_number',b'year_',b'tactical',b'barrel_length',b'trigger_action',b'quantity',b'amount'
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2020,Y,20,OTHER,1923,919857.63
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2020,Y,,OTHER,3542,1576584.31
Firearms,Shotgun,Semiautomatic,20 GA,Aug,8,2020,N,28,OTHER,786,444452.14
Firearms,Shotgun,Semiautomatic,12 GA,Jul,7,2020,Y,18.5,OTHER,522,278590.76
Firearms,Shotgun,Pump Action,12 GA,Jun,6,2020,Y,18,OTHER,3743,919736.42
Firearms,Shotgun,Semiautomatic,12 GA,Nov,11,2020,N,28,OTHER,2844,1996365.62
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2020,N,28,OTHER,2016,529400.52
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2020,Y,20,OTHER,3997,1838877.6
Firearms,Shotgun,Single Shot,410 GA,Sep,9,2020,N,18,OTHER,1342,145112.41
Firearms,Shotgun,Pump Action,12 GA,Dec,12,2020,Y,20,OTHER,4096,1017321.58
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2020,N,26,OTHER,535,382099.7
Firearms,Shotgun,Pump Action,20 GA,Oct,10,2020,N,24,OTHER,194,54867.2
Firearms,Shotgun,Single Shot,20 GA,Apr,4,2020,N,26,OTHER,824,123819.1
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2020,Y,18.5,OTHER,2114,732707.28
Firearms,Shotgun,Pump Action,12 GA,Oct,10,2020,Y,,OTHER,3675,1623539.23
Firearms,Shotgun,Pump Action,12 GA,Dec,12,2020,Y,,OTHER,11066,3277611.51
Firearms,Shotgun,Over/Under,12 GA,Oct,10,2020,N,30,OTHER,551,699536.09
Firearms,Shotgun,Over/Under,20 GA,Jun,6,2020,N,28,OTHER,452,280394.66
Firearms,Shotgun,Pump Action,12 GA,May,5,2020,Y,14.4,OTHER,1436,496260.31
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2020,Y,20,OTHER,2880,1224842.9
Firearms,Shotgun,Single Shot,20 GA,Feb,2,2020,N,26,OTHER,901,139965.06
Firearms,Shotgun,Single Shot,20 GA,Sep,9,2020,N,,OTHER,836,91019.21
Firearms,Shotgun,Pump Action,12 GA,May,5,2020,Y,18,OTHER,4438,1366445.28
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2020,N,22,OTHER,99,51436.49
