b'type',b'category',b'subcategory',b'sizing',b'month_name',b'month_number',b'year_',b'tactical',b'barrel_length',b'trigger_action',b'quantity',b'amount'
Firearms,Shotgun,Pump Action,20 GA,Jan,1,2019,N,26,OTHER,605,123232.97
Firearms,Shotgun,Pump Action,20 GA,Apr,4,2019,N,24,OTHER,253,87552.19
Firearms,Shotgun,Pump Action,12 GA,Mar,3,2019,N,,OTHER,2343,746002.76
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2019,Y,20,OTHER,1898,674533.64
Firearms,Shotgun,Over/Under,12 GA,Apr,4,2019,N,30,OTHER,258,342213.01
Firearms,Shotgun,Pump Action,12 GA,Dec,12,2019,Y,20,OTHER,1349,439838.13
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2019,N,,OTHER,1326,1263372.54
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2019,N,13,OTHER,470,304688.43
Firearms,Shotgun,Rifle/Shotgun,22 LR / 410 GA,Nov,11,2019,N,18.5,OTHER,460,69833.94
Firearms,Shotgun,Lever Action,410 GA,Aug,8,2019,N,20,OTHER,683,344518.07
Firearms,Shotgun,Over/Under,20 GA,Oct,10,2019,N,26,OTHER,373,197023.35
Firearms,Shotgun,Over/Under,410 GA,Apr,4,2019,N,,OTHER,39,18818.23
Firearms,Shotgun,Pump Action,20 GA,Jan,1,2019,Y,14.4,OTHER,1079,322077.59
Firearms,Shotgun,Pump Action,12 GA,Dec,12,2019,N,,OTHER,2449,744595.96
Firearms,Shotgun,Semiautomatic,12 GA,Jan,1,2019,N,,OTHER,1412,1218239.09
Firearms,Shotgun,Lever Action,410 GA,Apr,4,2019,N,20,OTHER,1054,645434.45
Firearms,Shotgun,Pump Action,12 GA,Feb,2,2019,Y,14.4,OTHER,2363,762565.76
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2019,N,28,OTHER,1330,335425.96
Firearms,Shotgun,Over/Under,12 GA,Aug,8,2019,N,28,OTHER,1337,679584.99
Firearms,Shotgun,Pump Action,410 GA,Nov,11,2019,N,24,OTHER,152,44610.68
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2019,N,13,OTHER,326,212432.84
Firearms,Shotgun,Semiautomatic,12 GA,Feb,2,2019,N,,OTHER,994,877922.16
Firearms,Shotgun,Pump Action,12 GA,Feb,2,2019,Y,,OTHER,2976,1371689.32
Firearms,Shotgun,Single Shot,410 GA,Mar,3,2019,N,26,OTHER,351,74128.36
Firearms,Shotgun,Pump Action,12 GA,Aug,8,2019,Y,18.5,OTHER,829,263076.58
Firearms,Shotgun,Over/Under,12 GA,Dec,12,2019,N,32,OTHER,208,378616.65
Firearms,Shotgun,Pump Action,12 GA,Feb,2,2019,Y,18.5,OTHER,1450,444255.61
Firearms,Shotgun,Pump Action,12 GA,Jan,1,2019,N,28,OTHER,2361,572880.15
Firearms,Shotgun,Semiautomatic,16 GA,Aug,8,2019,N,28,OTHER,32,41513.16
Firearms,Shotgun,Over/Under,20 GA,Sep,9,2019,N,,OTHER,330,218723.99
Firearms,Shotgun,Pump Action,12 GA,Sep,9,2019,Y,,OTHER,1604,653395.93
Firearms,Shotgun,Semiautomatic,20 GA,Jun,6,2019,N,28,OTHER,219,62766.98
Firearms,Shotgun,Pump Action,20 GA,Aug,8,2019,N,22,OTHER,223,61232.17
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2019,Y,,OTHER,2497,995847.07
Firearms,Shotgun,Pump Action,12 GA,Jun,6,2019,Y,20,OTHER,847,294955.74
Firearms,Shotgun,Semiautomatic,410 GA,Aug,8,2019,Y,28,OTHER,22,9526.48
Firearms,Shotgun,Pump Action,12 GA,Jul,7,2019,N,28,OTHER,500,145513.61
Firearms,Shotgun,Semiautomatic,20 GA,Apr,4,2019,N,24,OTHER,415,154346.36
Firearms,Shotgun,Over/Under,12 GA,May,5,2019,N,30,OTHER,216,308575.32
