b'type',b'category',b'subcategory',b'sizing',b'month_name',b'month_number',b'year_',b'tactical',b'barrel_length',b'trigger_action',b'quantity',b'amount'
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2022,Y,24,OTHER,213,229404.43
Firearms,Shotgun,Side By Side,12 GA,Nov,11,2022,Y,20,OTHER,164,141477.66
Firearms,Shotgun,Pump Action,12 GA,Nov,11,2022,Y,,OTHER,2450,1280055.46
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2022,Y,18,OTHER,4089,1621885.33
Firearms,Shotgun,Pump Action,12 GA,Dec,12,2022,N,28,OTHER,2071,690538.5
Firearms,Shotgun,Semiautomatic,20 GA,Oct,10,2022,N,26,OTHER,514,285849.06
Firearms,Shotgun,Pump Action,12 GA,Jul,7,2022,N,28,OTHER,1119,377148.52
Firearms,Shotgun,Pump Action,20 GA,Dec,12,2022,N,26,OTHER,692,227082.44
Firearms,Shotgun,Semiautomatic,12 GA,Jan,1,2022,Y,20,OTHER,2033,921159.17
Firearms,Shotgun,Single Shot,410 GA,Apr,4,2022,N,,OTHER,1798,307566.78
Firearms,Shotgun,Semiautomatic,12 GA,Oct,10,2022,N,28,OTHER,3721,2223453.56
Firearms,Shotgun,Single Shot,410 GA,Aug,8,2022,N,,OTHER,699,105212.78
Firearms,Shotgun,Pump Action,12 GA,Sep,9,2022,Y,18,OTHER,2815,865965.25
Firearms,Shotgun,Pump Action,12 GA,May,5,2022,Y,20,OTHER,1213,522084.17
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2022,N,22,OTHER,72,58792.97
Firearms,Shotgun,Single Shot,20 GA,May,5,2022,N,26,OTHER,312,52598.91
Firearms,Shotgun,Pump Action,12 GA,Dec,12,2022,Y,,OTHER,2214,1131034.65
Firearms,Shotgun,Semiautomatic,410 GA,Feb,2,2022,N,,OTHER,991,232885
Firearms,Shotgun,Pump Action,12 GA,Jan,1,2022,Y,,OTHER,7607,2452978.59
Firearms,Shotgun,Semiautomatic,12 GA,Jan,1,2022,N,26,OTHER,810,503019.87
Firearms,Shotgun,Pump Action,20 GA,May,5,2022,Y,,OTHER,222,53566.15
Firearms,Shotgun,Pump Action,12 GA,Oct,10,2022,N,24,OTHER,470,141393.14
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2022,N,23,OTHER,81,42470.01
Firearms,Shotgun,Pump Action,12 GA,Jun,6,2022,Y,18.5,OTHER,2541,936689.93
Firearms,Shotgun,Pump Action,12 GA,Jul,7,2022,Y,18,OTHER,3663,1104371.8
Firearms,Shotgun,Pump Action,20 GA,Mar,3,2022,Y,14.4,OTHER,465,168543.88
Firearms,Shotgun,Pump Action,12 GA,Feb,2,2022,Y,,OTHER,4170,1694975.21
Firearms,Shotgun,Semiautomatic,20 GA,Apr,4,2022,N,28,OTHER,723,412144.58
Firearms,Shotgun,Semiautomatic,12 GA,Dec,12,2022,N,28,OTHER,4800,2786252.23
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2022,N,18,OTHER,217,43234.92
Firearms,Shotgun,Pump Action,12 GA,Sep,9,2022,N,23,OTHER,25,12862.03
Firearms,Shotgun,Over/Under,410 GA,Jan,1,2022,N,,OTHER,392,202857.22
Firearms,Shotgun,Pump Action,12 GA,Sep,9,2022,N,28,OTHER,2183,736028.13
Firearms,Shotgun,Over/Under,410 GA,Dec,12,2022,N,,OTHER,158,89784.05
Firearms,Shotgun,Over/Under,20 GA,Dec,12,2022,N,26,OTHER,518,406313.9
Firearms,Shotgun,Over/Under,12 GA,Oct,10,2022,Y,18,OTHER,10,2136.75
Firearms,Shotgun,Pump Action,12 GA,Dec,12,2022,Y,14.5,OTHER,271,122654.84
Firearms,Shotgun,Pump Action,12 GA,Sep,9,2022,Y,14.4,OTHER,1293,521933.1
Firearms,Shotgun,Pump Action,12 GA,Nov,11,2022,Y,18,OTHER,4097,1126425.34
Firearms,Shotgun,Pump Action,12 GA,Feb,2,2022,N,28,OTHER,2278,731546.77
Firearms,Shotgun,Over/Under,12 GA,Sep,9,2022,N,28,OTHER,1752,1021064.65
Firearms,Shotgun,Pump Action,12 GA,Aug,8,2022,Y,18.5,OTHER,2672,919089.82
Firearms,Shotgun,Pump Action,20 GA,Mar,3,2022,N,21,OTHER,122,54518.94
Firearms,Shotgun,Over/Under,12 GA,May,5,2022,N,28,OTHER,1128,586130.28
Firearms,Shotgun,Over/Under,12 GA,Apr,4,2022,N,26,OTHER,206,194460.8
Firearms,Shotgun,Semiautomatic,410 GA,Nov,11,2022,N,24,OTHER,69,36875.3
Firearms,Shotgun,Pump Action,12 GA,Jan,1,2022,N,28,OTHER,3418,1093403.46
Firearms,Shotgun,Single Shot,12 GA,Jan,1,2022,N,,OTHER,958,103223.99
Firearms,Shotgun,Pump Action,12 GA,May,5,2022,N,28,OTHER,1197,376684.18
Firearms,Shotgun,Single Shot,20 GA,Nov,11,2022,N,22,OTHER,271,28490.29
Firearms,Shotgun,Pump Action,12 GA,Mar,3,2022,N,,OTHER,915,189918.23
Firearms,Shotgun,Pump Action,12 GA,May,5,2022,Y,18.5,OTHER,2406,861072.42
Firearms,Shotgun,Over/Under,12 GA,Mar,3,2022,N,28,OTHER,2083,1184982.25
Firearms,Shotgun,Pump Action,12 GA,Sep,9,2022,N,,OTHER,981,194166.3
Firearms,Shotgun,Pump Action,12 GA,May,5,2022,Y,,OTHER,2790,1548288.09
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2022,Y,18,OTHER,2738,997099.83
Firearms,Shotgun,Over/Under,12 GA,Aug,8,2022,N,30,OTHER,373,468020.91
Firearms,Shotgun,Over/Under,20 GA,Jun,6,2022,N,28,OTHER,353,245405.04
Firearms,Shotgun,Semiautomatic,12 GA,Nov,11,2022,Y,20,OTHER,1364,532546.6
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2022,N,30,OTHER,249,313377.24
Firearms,Shotgun,Pump Action,12 GA,Aug,8,2022,Y,18,OTHER,4138,1287085.25
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2022,N,28,OTHER,4163,2591349.62
Firearms,Shotgun,Semiautomatic,12 GA,Oct,10,2022,N,,OTHER,567,781085.53
Firearms,Shotgun,Over/Under,20 GA,Nov,11,2022,N,30,OTHER,41,57407.71
Firearms,Shotgun,Semiautomatic,12 GA,Sep,9,2022,Y,18,OTHER,1316,505769.04
Firearms,Shotgun,Over/Under,12 GA,Jun,6,2022,Y,18,OTHER,17,3619.75
Firearms,Shotgun,Semiautomatic,12 GA,Apr,4,2022,Y,18,OTHER,2073,996820.05
Firearms,Shotgun,Single Shot,12 GA,Jan,1,2022,N,26,OTHER,291,45632.05
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2022,Y,14,OTHER,121,52886.89
Firearms,Shotgun,Single Shot,410 GA,Dec,12,2022,N,26,OTHER,712,126637.03
Firearms,Shotgun,Semiautomatic,12 GA,Sep,9,2022,Y,24,OTHER,477,467521.63
Firearms,Shotgun,Over/Under,12 GA,Apr,4,2022,N,28,OTHER,1640,917669.43
Firearms,Shotgun,Single Shot,20 GA,Feb,2,2022,N,,OTHER,828,96163.69
Firearms,Shotgun,Over/Under,20 GA,Feb,2,2022,N,26,OTHER,633,300208.45
Firearms,Shotgun,Pump Action,12 GA,Aug,8,2022,Y,,OTHER,2427,1207834.38
Firearms,Shotgun,Pump Action,308 WIN/7.62 NATO,Sep,9,2022,NA,28,OTHER,171,57366.94
Firearms,Shotgun,Pump Action,12 GA,Oct,10,2022,Y,14.4,OTHER,924,368541.07
Firearms,Shotgun,Semiautomatic,28 GA,Oct,10,2022,N,28,OTHER,160,206568.9
Firearms,Shotgun,Pump Action,12 GA,Mar,3,2022,NA,28,OTHER,411,86120.66
Firearms,Shotgun,Pump Action,12 GA,May,5,2022,N,23,OTHER,61,32271.91
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2022,Y,28,OTHER,368,127332.78
Firearms,Shotgun,Over/Under,12 GA,Aug,8,2022,N,28,OTHER,1172,676891.47
Firearms,Shotgun,Semiautomatic,12 GA,Jul,7,2022,N,26,OTHER,482,373246.67
Firearms,Shotgun,Semiautomatic,20 GA,Jul,7,2022,N,28,OTHER,639,333173.8
Firearms,Shotgun,Semiautomatic,12 GA,Nov,11,2022,N,28,OTHER,5288,2679942.19
Firearms,Shotgun,Over/Under,12 GA,Sep,9,2022,N,30,OTHER,304,350140.01
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2022,Y,,OTHER,2943,1220547.64
Firearms,Shotgun,Pump Action,12 GA,Aug,8,2022,NA,,OTHER,221,7343.38
Firearms,Shotgun,Semiautomatic,20 GA,Sep,9,2022,Y,24,OTHER,22,15769.31
Firearms,Shotgun,Side By Side,20 GA,Jan,1,2022,N,28,OTHER,106,84918.46
Firearms,Shotgun,Semiautomatic,12 GA,Feb,2,2022,N,28,OTHER,4484,2756639.52
