b'type',b'category',b'subcategory',b'sizing',b'month_name',b'month_number',b'year_',b'tactical',b'barrel_length',b'trigger_action',b'quantity',b'amount'
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2021,Y,,OTHER,2916,1426165.51
Firearms,Shotgun,Semiautomatic,12 GA,Jan,1,2021,Y,20,OTHER,11627,4768797.79
Firearms,Shotgun,Single Shot,12 GA,Aug,8,2021,N,26,OTHER,114,18354.66
Firearms,Shotgun,Pump Action,12 GA,Aug,8,2021,Y,18,OTHER,4945,1536572.77
Firearms,Shotgun,Single Shot,12 GA,Jan,1,2021,N,,OTHER,2030,222236.54
Firearms,Shotgun,Over/Under,12 GA,Nov,11,2021,N,32,OTHER,129,259090.89
Firearms,Shotgun,Pump Action,20 GA,Aug,8,2021,N,22,OTHER,292,90105.26
Firearms,Shotgun,Semiautomatic,12 GA,Nov,11,2021,N,28,OTHER,6241,3007699.87
Firearms,Shotgun,Pump Action,12 GA,Jun,6,2021,N,28,OTHER,1600,495504.76
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2021,Y,20,OTHER,5583,2248702.05
Firearms,Shotgun,Semiautomatic,12 GA,Feb,2,2021,Y,20,OTHER,10736,4349096.04
Firearms,Shotgun,Semiautomatic,12 GA,Dec,12,2021,Y,18,OTHER,1778,864877.89
Firearms,Shotgun,Pump Action,12 GA,Nov,11,2021,Y,20,OTHER,1155,291909.68
Firearms,Shotgun,Single Shot,410 GA,Jul,7,2021,N,18,OTHER,853,111790.72
Firearms,Shotgun,Over/Under,20 GA,Aug,8,2021,N,,OTHER,215,166778.04
Firearms,Shotgun,Single Shot,12 GA,Aug,8,2021,N,,OTHER,780,101392.19
Firearms,Shotgun,Semiautomatic,12 GA,Feb,2,2021,N,28,OTHER,4407,2065031.82
Firearms,Shotgun,Semiautomatic,12 GA,Jul,7,2021,Y,20,OTHER,6999,2944059.23
Firearms,Shotgun,Semiautomatic,20 GA,Mar,3,2021,N,24,OTHER,1594,569953.91
Firearms,Shotgun,Single Shot,410 GA,Dec,12,2021,N,,OTHER,685,123118.06
Firearms,Shotgun,Pump Action,28 GA,Nov,11,2021,N,26,OTHER,10,6190
Firearms,Shotgun,Pump Action,12 GA,Feb,2,2021,Y,,OTHER,4479,1700824.47
Firearms,Shotgun,Pump Action,12 GA,Jun,6,2021,Y,20,OTHER,7979,1434392.04
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2021,N,28,OTHER,4544,2083779.24
Firearms,Shotgun,Single Shot,410 GA,Mar,3,2021,N,26,OTHER,1689,282982.26
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2021,N,28,OTHER,5105,2059322.17
Firearms,Shotgun,Single Shot,12 GA,Feb,2,2021,N,28,OTHER,96,37730.94
Firearms,Shotgun,Single Shot,20 GA,Apr,4,2021,N,,OTHER,1513,160665.92
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2021,N,,OTHER,662,793432.99
Firearms,Shotgun,Pump Action,20 GA,Mar,3,2021,Y,22,OTHER,135,34380.97
Firearms,Shotgun,Single Shot,20 GA,Feb,2,2021,N,,OTHER,595,54926.28
Firearms,Shotgun,Semiautomatic,12 GA,Apr,4,2021,Y,20,OTHER,10704,4075369.93
Firearms,Shotgun,Semiautomatic,20 GA,Aug,8,2021,N,26,OTHER,731,338995.24
Firearms,Shotgun,Semiautomatic,20 GA,Sep,9,2021,N,24,OTHER,1283,483881.58
Firearms,Shotgun,Semiautomatic,410 GA,Nov,11,2021,Y,28,OTHER,34,15399.86
Firearms,Shotgun,Pump Action,12 GA,Sep,9,2021,Y,20,OTHER,3244,727459.01
Firearms,Shotgun,Pump Action,20 GA,Apr,4,2021,Y,,OTHER,766,157328.34
Firearms,Shotgun,Semiautomatic,12 GA,Nov,11,2021,Y,18.5,OTHER,480,291158.42
Firearms,Shotgun,Over/Under,12 GA,Dec,12,2021,N,28,OTHER,1835,951680.17
Firearms,Shotgun,Over/Under,12 GA,Mar,3,2021,N,28,OTHER,3049,1658106.05
Firearms,Shotgun,Semiautomatic,12 GA,Jul,7,2021,N,28,OTHER,4145,1970487
Firearms,Shotgun,Semiautomatic,10 GA,Dec,12,2021,NA,,OTHER,3,131.55
Firearms,Shotgun,Over/Under,28 GA,Apr,4,2021,N,28,OTHER,323,192464.36
Firearms,Shotgun,Single Shot,410 GA,Jun,6,2021,N,26,OTHER,826,141583.91
Firearms,Shotgun,Over/Under,20 GA,Feb,2,2021,N,28,OTHER,558,453529.23
Firearms,Shotgun,Pump Action,12 GA,Jun,6,2021,N,,OTHER,2696,685056.73
Firearms,Shotgun,Semiautomatic,12 GA,Apr,4,2021,N,28,OTHER,5678,2400235.98
Firearms,Shotgun,Pump Action,20 GA,Mar,3,2021,Y,,OTHER,281,56502.59
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2021,N,32,OTHER,37,15879.74
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2021,N,,OTHER,2026,2128190.73
Firearms,Shotgun,Pump Action,20 GA,Jul,7,2021,N,22,OTHER,652,195610.68
Firearms,Shotgun,Single Shot,20 GA,May,5,2021,N,26,OTHER,801,140605.72
Firearms,Shotgun,Pump Action,12 GA,Oct,10,2021,NA,28,OTHER,1999,418610.59
Firearms,Shotgun,Over/Under,20 GA,Aug,8,2021,N,26,OTHER,483,323863.64
Firearms,Shotgun,Semiautomatic,20 GA,Apr,4,2021,N,,OTHER,318,295922.82
Firearms,Shotgun,Pump Action,12 GA,Jun,6,2021,N,20,OTHER,744,177935.37
Firearms,Shotgun,Semiautomatic,20 GA,Jun,6,2021,N,22,OTHER,784,226893.94
Firearms,Shotgun,Single Shot,410 GA,Apr,4,2021,N,,OTHER,2544,391430.03
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2021,Y,,OTHER,11134,5171530.17
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2021,Y,20,OTHER,5608,1477632.38
Firearms,Shotgun,Semiautomatic,12 GA,Sep,9,2021,Y,,OTHER,3198,1121863.93
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2021,N,26,OTHER,1637,1113514.08
Firearms,Shotgun,Semiautomatic,12 GA,Oct,10,2021,Y,22,OTHER,0,0
Firearms,Shotgun,Semiautomatic,410 GA,May,5,2021,Y,18.5,OTHER,736,81244.91
Firearms,Shotgun,Pump Action,12 GA,May,5,2021,Y,20,OTHER,6413,1436147.39
Firearms,Shotgun,Semiautomatic,28 GA,Jun,6,2021,N,24,OTHER,32,14050
Firearms,Shotgun,Semiautomatic,20 GA,May,5,2021,N,28,OTHER,809,255232.29
Firearms,Shotgun,Semiautomatic,12 GA,Dec,12,2021,N,28,OTHER,5561,2376162.13
Firearms,Shotgun,Pump Action,20 GA,Nov,11,2021,N,24,OTHER,544,164085.47
Firearms,Shotgun,Pump Action,20 GA,Mar,3,2021,Y,26,OTHER,415,84825.38
Firearms,Shotgun,Side By Side,20 GA,Apr,4,2021,N,28,OTHER,124,73252.71
Firearms,Shotgun,Pump Action,12 GA,Jan,1,2021,Y,18,OTHER,11843,3028275.54
Firearms,Shotgun,Pump Action,410 GA,Oct,10,2021,N,18,OTHER,160,46030.9
Firearms,Shotgun,Pump Action,12 GA,Dec,12,2021,Y,,OTHER,5695,2096540.88
Firearms,Shotgun,Semiautomatic,12 GA,Feb,2,2021,Y,18,OTHER,1541,740237.4
Firearms,Shotgun,Lever Action,410 GA,Oct,10,2021,N,20,OTHER,228,153024.27
Firearms,Shotgun,Pump Action,12 GA,Oct,10,2021,Y,,OTHER,4110,1868859.04
Firearms,Shotgun,Lever Action,410 GA,Oct,10,2021,N,19,OTHER,128,85120.38
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2021,Y,24,OTHER,1037,549264.93
Firearms,Shotgun,Semiautomatic,410 GA,Feb,2,2021,N,28,OTHER,223,113584.89
Firearms,Shotgun,Over/Under,12 GA,May,5,2021,N,28,OTHER,1680,880957.25
Firearms,Shotgun,Semiautomatic,12 GA,Jan,1,2021,Y,19,OTHER,127,36823.65
Firearms,Shotgun,Single Shot,20 GA,Sep,9,2021,N,26,OTHER,133,38581.56
Firearms,Shotgun,Semiautomatic,12 GA,Sep,9,2021,Y,24,OTHER,658,447022.03
Firearms,Shotgun,Semiautomatic,28 GA,Oct,10,2021,N,28,OTHER,64,41503.45
Firearms,Shotgun,Pump Action,12 GA,Aug,8,2021,Y,14.5,OTHER,371,151706.29
Firearms,Shotgun,Side By Side,12 GA,Dec,12,2021,N,28,OTHER,267,177251.55
Firearms,Shotgun,Semiautomatic,20 GA,Feb,2,2021,N,24,OTHER,830,310410.45
Firearms,Shotgun,Semiautomatic,12 GA,Oct,10,2021,N,28,OTHER,4350,2080207.33
Firearms,Shotgun,Over/Under,12 GA,Dec,12,2021,N,,OTHER,358,213619.4
Firearms,Shotgun,Pump Action,12 GA,Mar,3,2021,N,28,OTHER,1609,428400.01
Firearms,Shotgun,Semiautomatic,12 GA,Apr,4,2021,Y,,OTHER,11231,5336549.08
Firearms,Shotgun,Semiautomatic,12 GA,Mar,3,2021,Y,28,OTHER,618,198591.94
Firearms,Shotgun,Pump Action,20 GA,Oct,10,2021,N,28,OTHER,316,102234.86
Firearms,Shotgun,Pump Action,12 GA,Nov,11,2021,Y,18,OTHER,12022,2758098.91
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2021,Y,20,OTHER,5054,1738914.86
Firearms,Shotgun,Semiautomatic,20 GA,Mar,3,2021,Y,3,OTHER,767,418499.32
Firearms,Shotgun,Pump Action,12 GA,Jul,7,2021,N,24,OTHER,231,73746.99
Firearms,Shotgun,Semiautomatic,12 GA,Feb,2,2021,Y,,OTHER,10255,4899012.98
Firearms,Shotgun,Semiautomatic,20 GA,Nov,11,2021,N,26,OTHER,1091,476892.44
Firearms,Shotgun,Semiautomatic,12 GA,Feb,2,2021,Y,24,OTHER,1839,914008.22
Firearms,Shotgun,Single Shot,410 GA,May,5,2021,N,26,OTHER,583,98636.65
Firearms,Shotgun,Semiautomatic,20 GA,Oct,10,2021,N,26,OTHER,661,322646.34
Firearms,Shotgun,Semiautomatic,20 GA,Oct,10,2021,Y,,OTHER,122,33309.31
Firearms,Shotgun,Semiautomatic,12 GA,Nov,11,2021,Y,14,OTHER,347,152820.12
Firearms,Shotgun,Pump Action,12 GA,Oct,10,2021,N,26,OTHER,410,165919
Firearms,Shotgun,Pump Action,20 GA,Jul,7,2021,N,26,OTHER,689,177356.28
Firearms,Shotgun,Over/Under,28 GA,Sep,9,2021,N,28,OTHER,133,123091.79
Firearms,Shotgun,Lever Action,410 GA,Nov,11,2021,N,24,OTHER,192,133162.52
Firearms,Shotgun,Semiautomatic,20 GA,Sep,9,2021,N,28,OTHER,1214,470689.31
Firearms,Shotgun,Pump Action,410 GA,Jul,7,2021,N,26,OTHER,431,92125.61
Firearms,Shotgun,Pump Action,410 GA,Sep,9,2021,N,24,OTHER,257,84018.19
Firearms,Shotgun,Pump Action,12 GA,May,5,2021,N,,OTHER,560,107739
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2021,Y,18,OTHER,2261,1143487.68
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2021,N,24,OTHER,287,180793.49
Firearms,Shotgun,Single Shot,12 GA,Nov,11,2021,N,,OTHER,862,100146.02
Firearms,Shotgun,Semiautomatic,12 GA,May,5,2021,N,26,OTHER,640,537442.38
Firearms,Shotgun,Pump Action,410 GA,Jun,6,2021,Y,14.3,OTHER,179,62802.56
Firearms,Shotgun,Semiautomatic,12 GA,Jun,6,2021,Y,18,OTHER,3299,1731530.55
Firearms,Shotgun,Semiautomatic,410 GA,Feb,2,2021,N,24,OTHER,336,182738.69
Firearms,Shotgun,Semiautomatic,20 GA,May,5,2021,N,24,OTHER,654,326288.23
Firearms,Shotgun,Semiautomatic,12 GA,Sep,9,2021,N,26,OTHER,1203,737884.12
Firearms,Shotgun,Over/Under,12 GA,Mar,3,2021,N,,OTHER,358,205986.69
Firearms,Shotgun,Single Shot,12 GA,Nov,11,2021,N,24,OTHER,58,18113.12
Firearms,Shotgun,Semiautomatic,20 GA,Aug,8,2021,N,22,OTHER,133,46684.71
Firearms,Shotgun,Semiautomatic,20 GA,Oct,10,2021,Y,3,OTHER,299,160620.95
Firearms,Shotgun,Semiautomatic,12 GA,Apr,4,2021,N,24,OTHER,297,156935.28
Firearms,Shotgun,Over/Under,410 GA,Aug,8,2021,N,28,OTHER,127,104516.5
Firearms,Shotgun,Semiautomatic,16 GA,Jan,1,2021,N,28,OTHER,119,66652.91
Firearms,Shotgun,Single Shot,20 GA,Aug,8,2021,N,20,OTHER,41,4099.59
Firearms,Shotgun,Semiautomatic,12 GA,Dec,12,2021,Y,20,OTHER,2987,1172991.61
Firearms,Shotgun,Semiautomatic,28 GA,May,5,2021,N,24,OTHER,17,7205.75
Firearms,Shotgun,Pump Action,20 GA,Jan,1,2021,N,26,OTHER,748,161464.04
Firearms,Shotgun,Single Shot,410 GA,Sep,9,2021,N,26,OTHER,234,43285.88
Firearms,Shotgun,Pump Action,410 GA,Aug,8,2021,N,18,OTHER,639,177077.64
Firearms,Shotgun,Pump Action,20 GA,Mar,3,2021,N,22,OTHER,643,145117.76
Firearms,Shotgun,Pump Action,12 GA,Mar,3,2021,Y,14.4,OTHER,916,331178.92
Firearms,Shotgun,Semiautomatic,410 GA,May,5,2021,N,24,OTHER,235,91399.44
Firearms,Shotgun,Pump Action,12 GA,Apr,4,2021,Y,14.4,OTHER,1882,715272.44
Firearms,Shotgun,Single Shot,12 GA,Feb,2,2021,N,,OTHER,738,90757.86
Firearms,Shotgun,Over/Under,410 GA,Oct,10,2021,N,18.5,OTHER,95,49239.27
Firearms,Shotgun,Pump Action,12 GA,Jan,1,2021,Y,14.4,OTHER,830,302571.78
Firearms,Shotgun,Semiautomatic,12 GA,Aug,8,2021,Y,28,OTHER,546,177902.19
